                  height                  radius                numParts                     rho                       T                    ekin                       p                     T_r                     T_y                     T_t                     v_r                     v_y                     v_t                     p_r                     p_y                     p_t              numSamples
   3.175000000000000e+01   2.500000000000000e-01   2.675000000000000e-01   6.811831564310989e-01   5.592948733713274e-01   8.483962274625766e-01   5.166706805364762e-01   2.340162678976627e-01   9.826115074856161e-01   4.612568447307031e-01  -6.078179568582625e-02  -1.148280509109357e-01  -4.503250879501535e-02                     nan  -3.248792191287715e-01                     nan                     400
   3.225000000000000e+01   2.500000000000000e-01   5.975000000000000e-01   1.521521255953576e+00   3.520542119705042e-01   5.716127084467252e-01   1.625928953739786e+00   2.672381001925178e-01   5.006143414200135e-01   2.883101942989822e-01  -2.766148521128098e-02  -8.036044294427035e-02   2.825594139780946e-01                     nan   5.455976709010529e-01                     nan                     400
   3.275000000000000e+01   2.500000000000000e-01   1.675000000000000e-01   4.265352474848937e-01   7.784967545050854e-01   1.193438111609688e+00  -3.518027592908750e-01   7.821104975188875e-02   3.939084108274605e-01   1.863370802935906e+00   1.691037986279294e-02  -6.568815241938815e-03   2.259576274953640e-01                     nan  -1.581265305669348e-01                     nan                     400
   3.325000000000000e+01   2.500000000000000e-01   8.325000000000000e-01   2.119943841977158e+00   4.244249469545844e-01   6.633122615056377e-01  -2.339194640011387e+00   6.285282939627382e-01   2.606114477839650e-01   3.841350991170492e-01  -4.916925212436250e-02  -7.320291749284268e-02  -2.134792722106513e-01                     nan  -3.228303497689111e+00                     nan                     400
   3.375000000000000e+01   2.500000000000000e-01   1.000000000000000e-02   2.546479089462052e-02   7.998152565539346e-01   1.199841919836526e+00   1.736762910384817e-02   1.564883545592974e+00   3.012465849761601e-01   5.333156390926685e-01  -1.247535416829404e-02  -5.465836543025316e-03  -7.249840033312247e-03                     nan  -2.733592991058644e-02                     nan                     400
   3.425000000000000e+01   2.500000000000000e-01   3.350000000000000e-01   8.530704949697875e-01   6.961921319924917e-01   1.045251144810258e+00  -1.001440434771793e+00   1.709857109857217e+00   1.507947676046257e-01   2.279245185156319e-01  -1.345307167808485e-02   3.974354189834686e-02  -1.285921392777426e-02                     nan  -1.220655527443868e+00                     nan                     400
   3.475000000000000e+01   2.500000000000000e-01   3.925000000000000e-01   9.994930426138554e-01   9.161741452241484e-01   1.476131004523018e+00   6.060518555407888e-01   5.424113890768958e-01   9.373464253313917e-01   1.268764621264156e+00  -8.392465745033965e-02  -1.758816739628888e-01   4.071386275084283e-01                     nan   9.893319270240541e-01                     nan                     400
   3.525000000000000e+01   2.500000000000000e-01                     nan   0.000000000000000e+00                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                       0
   3.575000000000000e+01   2.500000000000000e-01   6.200000000000000e-01   1.578817035466472e+00   5.761009005701166e-01   8.789763545206764e-01   1.529131999224896e+00   7.387004009788248e-01   3.198620924398621e-01   6.697402082916627e-01   8.110718002016322e-02  -1.427069140896096e-01   5.202277723459595e-02                     nan   2.699699608906552e+00                     nan                     400
   3.625000000000000e+01   2.500000000000000e-01                     nan   0.000000000000000e+00                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                       0
   3.675000000000000e+01   2.500000000000000e-01   8.100000000000001e-01   2.062648062464262e+00   7.274664593459156e-01   1.115791595912146e+00  -2.189162754020487e+00   8.634556687416751e-01   3.600968596765476e-01   9.588468496195269e-01  -1.031408856114244e-01  -1.488822230590791e-01  -1.279838081900359e-01                     nan  -1.296342257743172e+00                     nan                     400
   3.725000000000000e+01   2.500000000000000e-01                     nan   0.000000000000000e+00                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                       0
   3.775000000000000e+01   2.500000000000000e-01   4.625000000000000e-01   1.177746578876199e+00   1.035036903083987e+00   1.585551972156289e+00   3.413820494395165e+00   1.226313819591821e+00   8.669495379794732e-01   1.011847351680666e+00   1.620270805746868e-01  -9.613569892512121e-02   1.746378756548527e-01                     nan   1.611039050245301e+00                     nan                     400
   3.825000000000000e+01   2.500000000000000e-01   2.625000000000000e-01   6.684507609837886e-01   7.876293584714783e-01   1.197655653106440e+00   3.328999671523123e-01   3.206083920725660e-01   1.688168433400066e+00   3.541112499418044e-01   8.944835517009799e-03  -8.324059704585192e-02   1.594183920363899e-01                     nan  -2.681893820932509e+00                     nan                     400
   3.875000000000000e+01   2.500000000000000e-01   1.125000000000000e-01   2.864788975644809e-01   1.391547877759060e+00   2.113477852429441e+00  -2.003957927099815e-01   1.892015200648109e+00   9.990121487232023e-02   2.182727217756749e+00  -1.550766651427735e-01  -2.024575695866995e-02   1.668934056069019e-01                     nan  -2.306717403288724e-01                     nan                     400
   3.925000000000000e+01   2.500000000000000e-01   4.975000000000000e-01   1.266873347007371e+00   8.700788636906206e-01   1.372066418418271e+00   1.960724836454810e+00   1.079156608925972e+00   2.695260031258113e-01   1.261553979020081e+00   6.455188778229166e-02   4.883279547239920e-02  -3.568538323106170e-01                     nan   1.208870756334350e+00                     nan                     400
   3.975000000000000e+01   2.500000000000000e-01                     nan   0.000000000000000e+00                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                       0
   4.025000000000000e+01   2.500000000000000e-01   5.800000000000000e-01   1.476957871887990e+00   6.006364649098761e-01   9.832824751133069e-01   9.171914626214190e-01   7.426597102701616e-01   4.857470991398630e-01   5.735025853196011e-01  -7.620823130353217e-02  -3.679394788202760e-01  -1.531939976109922e-01                     nan   6.919146233529735e-01                     nan                     400
   4.075000000000000e+01   2.500000000000000e-01   4.550000000000000e-01   1.158647985705234e+00   6.307909454777125e-01   1.031937765211691e+00  -1.787119545347267e+00   4.800496404185231e-01   6.486142013488926e-01   7.637089946657230e-01   6.931892204756022e-02  -3.208924244091868e-01  -2.524393649833601e-01                     nan  -1.861851014501733e+00                     nan                     400
   4.125000000000000e+01   2.500000000000000e-01   4.275000000000000e-01   1.088619810745027e+00   3.329691539124719e-01   5.065957538533693e-01   1.031741937003376e+00   6.249230912365760e-01   3.213891446026622e-01   5.259522589817744e-02  -4.723285549068749e-02  -1.096235687710487e-01   5.981346120886539e-03                     nan   2.379793587371327e+00                     nan                     400
   4.175000000000000e+01   2.500000000000000e-01   1.575000000000000e-01   4.010704565902732e-01   1.582852545872919e+00   2.393469431526373e+00   1.461293999909989e+00   1.673942782511422e+00   1.403288055363817e+00   1.671326799743517e+00   1.715471038871228e-01   3.047892398644880e-03  -9.457022223647821e-02                     nan   1.159153021791329e+00                     nan                     400
   4.225000000000000e+01   2.500000000000000e-01   2.500000000000000e-01   6.366197723655130e-01   7.281044898906547e-01   1.105748156258147e+00   1.847373507011612e+00   3.183685753156164e-01   5.510766028305440e-01   1.314868291525803e+00  -1.989996993136702e-02  -8.713172566479138e-03   1.634347413033325e-01                     nan   3.559604124958876e+00                     nan                     400
   4.275000000000000e+01   2.500000000000000e-01   9.475000000000000e-01   2.412788937265294e+00   4.446109147360948e-01   6.789176164992494e-01   3.799734220058637e+00   4.672830310727284e-01   3.610969954594341e-01   5.054527176761227e-01  -2.245063823296228e-02  -1.110157757632930e-01  -1.057069305429932e-01                     nan  -4.328462877291701e+00                     nan                     400
   4.325000000000000e+01   2.500000000000000e-01   5.250000000000000e-02   1.336901521967577e-01   3.557588140701384e-01   5.347606794251346e-01   3.861547230592287e-01   3.829548172074665e-01   1.412859011516091e-01   5.430357238513392e-01   3.186655446424631e-02  -1.004871780376306e-02   3.359259765084568e-02                     nan   6.186654734463076e-02                     nan                     400
   4.375000000000000e+01   2.500000000000000e-01   1.625000000000000e-01   4.138028520375835e-01   1.077019217802524e+00   1.619942748894555e+00   8.854762928356124e-01   1.272975537833421e+00   4.720097298571396e-01   1.486072385717013e+00   1.744664865522656e-02  -5.479561293129066e-02   7.430275658226060e-02                     nan  -1.063163349909217e+00                     nan                     400
   4.425000000000000e+01   2.500000000000000e-01   7.350000000000000e-01   1.871662130754608e+00   7.703391543342608e-01   1.266693709752625e+00  -2.268797364105862e-03   8.808171235200803e-01   9.184559950766001e-01   5.117443444061051e-01   2.073266681261617e-01  -4.060261310031998e-01   1.205337717353260e-01                     nan  -4.845898860319757e+00                     nan                     400
   4.475000000000000e+01   2.500000000000000e-01   4.250000000000000e-02   1.082253613021372e-01   1.301150132989664e+00   1.955242382331863e+00  -2.832044905008811e-01   1.420693962622542e+00   2.033950542631739e+00   4.488058937147101e-01  -5.059464294435493e-02  -6.066349058348766e-02  -2.818667611289708e-02                     nan  -5.339749765001160e-01                     nan                     400
   4.525000000000000e+01   2.500000000000000e-01   3.300000000000000e-01   8.403380995224772e-01   1.031571258657059e+00   1.573029104369979e+00  -1.229462494562969e+00   9.912337385891106e-01   6.884198768244691e-01   1.415060160557598e+00  -4.703957124973427e-02  -1.031105955425855e-01  -1.962139561608080e-01                     nan   7.626106579158497e-01                     nan                     400
